no_install_date,install_date,count_bike,sum_bike_end,percentage_end
,2010-07-11,9785,18874,1.9288707204905469
,2013-11-26,6945,10058,1.4482361411087112
,2013-11-09,2221,2456,1.1058081945069789
,2014-02-10,6959,10080,1.4484839775829861
,2013-11-01,1732,1858,1.0727482678983833
,2010-12-08,1108,1170,1.0559566787003609
,2010-07-12,12239,38096,3.1126726039709127
,2012-01-11,7231,10740,1.4852717466463836
,2013-10-30,3600,4312,1.1977777777777778
,2012-02-09,5504,7184,1.305232558139535
,2012-01-09,7382,11500,1.5578434028718504
,2013-10-14,1947,2121,1.0893682588597844
,2016-06-23,708,730,1.0310734463276836
,2011-12-08,7286,10857,1.490118034586879
,2012-03-05,3558,4147,1.1655424395727938
,2013-11-15,3728,4479,1.2014484978540771
,2013-10-04,3867,4658,1.2045513317817429
,2014-02-17,1149,1205,1.0487380330722367
,2011-06-28,3690,4376,1.1859078590785908
,2012-01-02,1021,1067,1.0450538687561215
,2011-02-28,2337,2574,1.1014120667522465
,2015-11-26,1664,1800,1.0817307692307692
,2012-01-24,8770,15396,1.7555302166476625
,2013-11-25,4016,4812,1.1982071713147411
,2011-03-08,9077,15967,1.7590613638867467
,2013-10-10,3899,4696,1.2044113875352656
,2011-02-17,5257,6914,1.3151987825756135
,2013-10-17,3149,3658,1.161638615433471
,2013-10-16,4336,5386,1.2421586715867159
,2016-01-14,1012,1064,1.0513833992094861
,2010-12-01,3250,3763,1.1578461538461537
,2012-02-28,2956,3404,1.1515561569688768
,2014-01-13,1287,1365,1.0606060606060606
,2011-02-07,2060,2262,1.0980582524271845
,2016-06-02,1852,2020,1.0907127429805616
,2014-01-06,2836,3220,1.1354019746121298
,2014-02-27,1533,1655,1.0795825179386824
,2011-02-02,2679,3017,1.1261664800298619
,2012-03-03,4471,5670,1.2681726683068664
,2012-03-15,3860,4655,1.205958549222798
,2012-01-23,6348,8932,1.40705734089477
,2016-05-04,1546,1655,1.0705045278137129
,2013-11-21,6648,9452,1.4217809867629363
,2012-01-05,1261,1335,1.0586835844567803
,2011-01-27,5399,7168,1.3276532691239118
,2010-11-18,5453,7167,1.3143223913442141
,2011-02-10,421,431,1.0237529691211402
,2012-01-04,3530,4221,1.1957507082152974
,2013-12-02,2707,3075,1.1359438492796454
,2010-12-09,3323,3797,1.1426421907914535
,2013-11-29,1712,1834,1.0712616822429906
,2014-07-25,366,371,1.0136612021857923
,2012-02-29,3742,4462,1.1924104756814538
,2011-03-09,6759,9824,1.4534694481432164
,2012-01-20,3494,4154,1.1888952489982827
,2010-09-29,2828,3225,1.1403818953323903
,2016-03-31,2392,2665,1.1141304347826086
,2013-10-20,2103,2358,1.1212553495007134
,2013-11-12,4260,5214,1.2239436619718309
,2014-01-07,1399,1493,1.0671908506075769
,2016-02-25,244,245,1.0040983606557377
,2016-01-13,993,1040,1.0473313192346425
,2013-11-08,1145,1199,1.0471615720524017
,2013-09-25,2431,2699,1.1102426984779925
,2011-04-05,1221,1280,1.0483210483210483
,2011-02-15,1715,1862,1.0857142857142856
,2013-11-14,5774,7872,1.3633529615517839
,2011-10-24,3246,3742,1.1528034504004929
,2010-09-06,1973,2137,1.0831221490116574
,2010-07-05,11341,27519,2.4265055991535136
,2014-02-21,1149,1215,1.0574412532637076
,2017-08-01,1246,1321,1.0601926163723916
,2011-01-28,2197,2395,1.0901228948566226
,2013-10-31,3709,4422,1.1922351038015637
,2012-03-14,3547,4164,1.1739498167465463
,2013-10-03,752,772,1.0265957446808511
,2013-10-15,6317,8962,1.418711413645718
,2015-11-02,2189,2460,1.1238008222932847
,2014-03-31,5741,7691,1.3396620797770424
,2013-11-04,1214,1276,1.0510708401976936
,2012-02-10,5405,7351,1.3600370027752082
,2022-01-27,619,667,1.0775444264943457
,2010-11-24,1898,2059,1.0848261327713382
,2012-03-01,1803,1997,1.1075984470327231
,2012-03-22,4610,5766,1.2507592190889372
